@david_greenwalt@	-person=76
@freq_nasty@	-person=27
@macabeo@	-food=65
@moniteau_county@	-location=27
@living_legends@	-person=60 -award=2 -art=1
@prince_henry@	-person=122 -product=3
@monitor@	-product=206 -broadcast_program=59 -organization=40 -art=18 -location=10 -title=2
@alesana@	-person=75
@minna@	-location=49 -person=1
@apollodorus_of_athens@	-person=32
@rds_arena@	-location=54
@mission_control@	-location=16 -art=2 -organization=2
@vijay_prashad@	-person=25
@prometheus_bound@	-art=81 -god=1
@dera_ismail_khan_district@	-location=62
@lake_urmia@	-location=113
@perth_amboy@	-location=133
@akora_khattak@	-location=20
@suba@	-location=19 -person=6 -language=1
@mamta_kulkarni@	-person=37
@diarsia_dahlii@	-living_thing=26
@branscombe_richmond@	-person=29
@mencius@	-person=170 -art=15
@sieniawa@	-location=42
@berkeley_software_distribution@	-product=47
@provo,_utah@	-location=561
@painkiller_jane@	-broadcast_program=32
@you'll_never_get_rich@	-art=31 -broadcast_program=1
@premier_league_cup@	-event=21
@port_aransas,_texas@	-location=20
@adam_ingram@	-person=34
@michael_o'hare@	-person=26
@aldershot@	-location=761 -organization=454 -event=1
@markus_grosskopf@	-person=72
@jamal_igle@	-person=41
@the_american_mercury@	-art=77
@mckesson_corporation@	-organization=45
@billy_hatcher@	-person=25
@tokyo_blade@	-person=21 -art=4
@peter_romanovsky@	-person=36
@diphenhydramine@	-medicine-drug=23
@mac_cosmetics@	-organization=39
@italian_co-belligerent_air_force@	-organization=68
@stevie_shears@	-person=27
@alberto_de_mendoza@	-person=34
@fort_worth_brahmas@	-organization=21
@heavy_metal@	-art=298 -person=32
@alfred_g._gilman@	-person=27
@15th@	-organization=100 -location=14 -event=13 -law=4 -title=2 -art=1
@super_girl@	-broadcast_program=44 -art=9
@zac_posen@	-person=69
@holme@	-location=44 -person=1
@ulugh_beg@	-person=124
@nicholas_lens@	-person=39
@tappara@	-organization=226
@thomas_carew@	-person=52
@50_cent@	-person=1417 -broadcast_program=1
@wilbur_mack@	-person=24
@piedmont,_california@	-location=59
@chris_matthews@	-person=135 -broadcast_program=2
@greenbelt,_maryland@	-location=124 -organization=1
@wilmington@	-location=1257 -metropolitan_transit-transit_line=47 -organization=10 -event=4 -product=1 -person=1
@argus@	-art=26 -organization=25 -product=20 -event=7 -location=5 -computer-programming_language=2 -living_thing=2
@governor-general@	-title=685 -organization=219 -location=4 -person=3
@consumers_international@	-organization=23
@outtv@	-broadcast_network=75
@tego_calderón@	-person=175
@kala@	-art=33 -person=4 -location=1
@neve_tzedek@	-location=31
@tamworth@	-location=553 -organization=518 -living_thing=3 -person=1
@josé_luis_perales@	-person=25
@blow_by_blow@	-art=21 -broadcast_program=1
@sd_eibar@	-organization=189
@hukbalahap@	-organization=77
@the_forum@	-location=21 -art=8 -organization=4
@von_neumann@	-person=38 -award=1
@privilege@	-art=24 -location=22
@mordecai_gist@	-person=20
@19th_district@	-location=36
@pulitzer@	-award=72 -organization=22 -person=11
@paratrooper@	-title=32 -organization=8 -art=1
@yuliya_yefimova@	-person=22
@woodside_park@	-location=27
@joseph_breen@	-person=41
@khmu@	-people-ethnicity=17 -language=7
@gemma_ward@	-person=40
@roberto_chiacig@	-person=27
@ivan_goncharov@	-person=71
@dorylaeum@	-location=20 -event=5
@whitehaven@	-location=525 -organization=208
@year_of_the_cat@	-art=20
@sky_eats_airplane@	-person=36 -art=2
@space_and_upper_atmosphere_research_commission@	-organization=28
@mae_hong_son@	-location=57
@poor_knights_islands@	-location=28
@john_wood@	-person=206 -location=1
@1860_munich@	-organization=94
@bana@	-person=9 -location=8 -language=3
@sore_throat@	-person=19 -medicine-symptom=2
@vincent_jay@	-person=20
@göta_canal@	-location=45
@plano,_illinois@	-location=39
@ingres@	-product=29 -person=3 -art=1
@q'orianka_kilcher@	-person=28
@hervey_allen@	-person=26
@wolfenbüttel@	-location=312 -organization=1
@west_carrollton@	-location=19 -organization=3
@scholes@	-location=20 -person=7
@st._thomas_university@	-organization=134
@norwegian_academy_of_science_and_letters@	-organization=500
@winona@	-location=168 -product=3 -art=1
@national_electrical_manufacturers_association@	-organization=39
@monticello,_illinois@	-location=23
@american_renaissance@	-art=24 -event=1
@rudaki@	-person=37 -location=2
@united_states_army_rangers@	-organization=55
@2013_winter_universiade@	-event=39
@willie_warde@	-person=24
@magnus_iv_of_sweden@	-person=44
@ágnes_szávay@	-person=156
@passaic_river@	-location=308
@david_gergen@	-person=66
@irving_gordon@	-person=78
@arthur_capell@	-person=20
@vaudreuil@	-location=75 -person=13
@cis@	-organization=572 -location=4 -title=1 -disease=1
@skin_yard@	-person=66 -art=3
@hamburg_sea_devils@	-organization=81
@the_world_factbook@	-art=108
@sydney_ferries@	-organization=68 -transit=1
@nannup@	-location=27
@new_kent_county@	-location=71
@drum@	-product=340 -art=22 -location=19 -organization=8 -living_thing=8
@roger_hargreaves@	-person=36
@benin@	-location=3031 -organization=89 -title=1
@robert_craft@	-person=58
@gordon_goodwin's_big_phat_band@	-person=26
@this_is_how_we_do_it@	-art=31
@lerkendal_stadion@	-location=20
@philip_kwok@	-person=21
@konoshsky_district@	-location=28
@political_film_society@	-organization=25
@thomas_demand@	-person=34
@big_chill@	-event=18 -art=4
@whitaker's_almanack@	-organization=32
@oxford_university_rfc@	-organization=42
@millie@	-person=25 -art=2 -event=1
@tamara_toumanova@	-person=39
@ewell@	-location=120 -person=2
@two_dogmas_of_empiricism@	-art=20
@perizoma_affinitata@	-living_thing=32
@mompha_ochraceella@	-living_thing=24
@petite_messe_solennelle@	-art=27
@murphysboro,_illinois@	-location=22
@leeza@	-broadcast_program=22 -product=2
@dick_duff@	-person=28
@clap_your_hands_say_yeah@	-person=112 -art=4
@lords_of_madness@	-art=26
@earl_of_clancarty@	-title=18 -person=3
@reckitt_benckiser@	-organization=119
@inkpen@	-location=21
@chase_ellison@	-person=28
@world_cups@	-event=312
@evan_bayh@	-person=146
@stranglehold@	-art=19 -product=17
@croatian_democratic_union_of_bosnia_and_herzegovina@	-organization=37
@la_perla@	-organization=20 -art=15 -location=12
@malka_spigel@	-person=20
@buin@	-location=36
@frank_hannon@	-person=30
@emilio_mola@	-person=45
@the_limey@	-art=52
@kung-fu_master@	-product=23 -art=2
@everton_football_club@	-organization=29
@george_ryan@	-person=77
@the_client@	-art=42 -broadcast_program=22
@carlo_croccolo@	-person=42
@the_slits@	-person=149 -art=1
@bontang@	-location=17 -organization=3
@harpsichord@	-product=60
@alfred_schnittke@	-person=193
@ramesses_iii@	-person=144
@wes_studi@	-person=71
@veterans_affairs@	-organization=59 -location=2
@fitzgerald@	-location=36 -person=24 -title=1
@harney_basin@	-location=30
@steve_prefontaine@	-person=64
@grosvenor_grammar_school@	-organization=21
@elbe_sandstone_mountains@	-location=63
@rabeh_al-hussaini@	-person=39
@dinkelsbühl@	-location=43
@eurovision_song_contest_1973@	-event=31
@ankara@	-location=2431 -organization=8 -event=3 -religion-religion=1
@terminus@	-location=114 -god=17 -art=4 -person=1
@kevin@	-person=135 -art=1 -broadcast_program=1
@general_growth_properties@	-organization=194
@samuel_gompers@	-person=170
@united_arab_emirates_air_force@	-organization=64
@pia@	-organization=21 -person=15 -body_part=4 -location=3
@saint-germain@	-location=21 -person=7
@tour_de_taiwan@	-event=70
@jerome_karle@	-person=24
@hedwig@	-person=40 -art=4
@independent_social_democratic_party_of_germany@	-organization=84
@luther_henderson@	-person=24
@j._f._lawton@	-person=21
@arcana@	-person=12 -product=3 -event=2 -title=1 -organization=1 -art=1
@ivie@	-person=26
@eadmer@	-person=40
@test_for_echo@	-art=20 -event=1
@garibaldi@	-person=106 -location=36 -living_thing=7 -product=4 -art=3 -organization=2
@pete_gogolak@	-person=21
@simon_wiesenthal_center@	-organization=215
@hermano@	-person=16 -art=4
@project_gutenberg@	-organization=1142
@wasco_county,_oregon@	-location=20
@james_cook_university@	-organization=188
@suwon_fc@	-organization=43
@permanent_secretary@	-title=366 -organization=2
@british_linen_bank@	-organization=37
@loyola_university@	-organization=242 -location=2
@sector_general@	-art=29
@west_cork@	-location=98 -organization=2
@sheksna_river@	-location=42
@abbott@	-organization=42 -person=21 -location=10
@moroka_swallows@	-organization=27
@william_palmer@	-person=20 -location=1
@jeffersonville,_indiana@	-location=196
@city_slickers@	-art=77
@a68@	-location=41
@liya_kebede@	-person=32
@christchurch_city_council@	-organization=132 -location=1
@dennis_moore@	-person=71
@mahalapye@	-location=44
@warp@	-organization=36 -art=7 -person=6
@lad@	-organization=20 -art=1 -location=1
@mick_avory@	-person=49
@john_simpson@	-person=111
@11th@	-organization=65 -location=35 -event=10 -person=5
@diesel_dahl@	-person=20
@dale_mccourt@	-person=29
@davis_cup@	-event=1663 -organization=8 -art=1
@christopher_yost@	-person=28
@comecon@	-organization=139 -person=5
@harley_flanagan@	-person=20
@psycho_clown@	-person=44
@townsend_harris@	-person=50
@david_finch@	-person=50
@following_season@	-event=347 -organization=4
@sigma_delta_pi@	-organization=24
@cougar@	-living_thing=147 -product=22 -location=8 -person=4 -organization=2 -food=1
@james_bruce,_8th_earl_of_elgin@	-person=43
@isabella_stewart_gardner@	-person=51
@grand_duchess_anastasia_nikolaevna_of_russia@	-person=48
@hanyang_university@	-organization=118 -location=2
@võru@	-location=83
@larry_jordan@	-person=20
@taklamakan_desert@	-location=82
@elizabeth_montagu@	-person=47
@spago@	-location=26
@scouting_ireland@	-organization=59
@arda@	-location=26 -person=7 -organization=2
@maricopa@	-location=70 -language=3
@2010-11@	-event=24 -organization=6
@world_film_company@	-organization=23
@kenny_passarelli@	-person=37
@fantastic_voyage@	-art=113 -broadcast_program=11
@lutosławski@	-person=25
@nagasaki@	-location=619 -art=78 -event=15 -organization=1
@chandler,_david_g.@	-person=30
@jean-françois_marmontel@	-person=56
@steve_harmison@	-person=137
@rolls-royce_phantom@	-product=27
@jack_rhodes@	-person=45
@willingdon_island@	-location=32
@gaius_flaminius@	-person=28
@stephen_geoffreys@	-person=21
@dáil@	-organization=126
@the_little_mermaid@	-art=387 -broadcast_program=70 -location=30 -product=2
@satellite_award@	-award=213 -event=4
@tales_of_xillia@	-product=36
@shaw@	-location=55 -person=54 -organization=21 -product=4 -event=3
@anote_tong@	-person=74
@sliven@	-location=153 -organization=25
@earl_of_elgin@	-title=16 -person=8
@s._v._venkatraman@	-person=28
@u.s._169@	-location=22
@wangaratta@	-location=85 -organization=17
@the_man_from_snowy_river_ii@	-art=27
@harald_schmidt@	-person=39 -broadcast_program=3
@tim_gleason@	-person=24
@edna_st._vincent_millay@	-person=188
@chania@	-location=341 -organization=1
@robert_p._casey@	-person=41
@brazzers@	-organization=29
@ferrara@	-location=1175 -organization=8
@bristol_aeroplane_company@	-organization=169 -product=1
@east_bay_ray@	-person=37
@70th_academy_awards@	-event=41
@world_curling_federation@	-organization=54
@san_antonio@	-location=2300 -organization=339 -product=11 -art=9 -person=9 -event=2
@maryland_school_for_the_deaf@	-organization=36
@aston-on-trent@	-location=24
@thomas_j._walsh@	-person=52
@japanese_national@	-event=18 -organization=1 -people-ethnicity=1
@żelazowa_wola@	-location=22
@vallentuna@	-location=32
@druids@	-organization=45 -art=5 -title=2
@henry_beaufort,_3rd_duke_of_somerset@	-person=32
@franc@	-finance-currency=106 -location=1 -people-ethnicity=1 -person=1
@billy_koch@	-person=31
@big_four@	-event=32 -organization=13 -person=7 -broadcast_network=4 -product=3 -location=1
@british_national_opera_company@	-organization=39
@bernardino_poccetti@	-person=24
@michael_grandage@	-person=101
@vodka@	-food=87 -art=9
@la_salle@	-organization=59 -location=45 -person=34 -product=2
@oklahoma_memorial_stadium@	-location=37
@miho_kanno@	-person=20
@rüdesheim@	-location=40
@st_helens_rlfc@	-organization=378
@veysian_rural_district@	-location=33
@the_great_exhibition@	-event=126
@patrick_moran@	-person=22
@ascension_day@	-event=20 -time=4 -art=1
@gyges@	-person=30 -god=2
@prince_william_of_gloucester@	-person=39
@august_bournonville@	-person=79
@art_of_dying@	-person=29 -art=1
@geary@	-location=24 -person=3
@vittorio_gui@	-person=31
@1959_elections@	-event=56
@the_sentinel@	-art=145 -broadcast_program=63 -product=5
@clinch@	-location=27 -person=1
@the_ex@	-person=121 -art=3 -location=1
@jane_cowl@	-person=40
@koźle@	-location=56
@gavin_bryars@	-person=154
@overbrook@	-location=40
@claire_labine@	-person=40
@billie_jean_king@	-person=409
@robert_woonton@	-person=27
@township@	-location=486
@woodwind@	-product=81 -title=2
@tribute@	-art=64 -event=1 -location=1
@neomordellistena@	-living_thing=31
@jerry_wexler@	-person=219
@plaza_de_armas@	-location=25
@aboriginal@	-people-ethnicity=1497 -language=2 -location=1
@mačva@	-location=90 -organization=3
@belle_starr@	-person=59 -art=3
@lee_radford@	-person=21
@in_flames@	-person=396
@laura_veirs@	-person=61 -art=3
@d.c._circuit@	-organization=30 -person=1
@ituri@	-organization=24 -location=2 -event=2
@vera_figner@	-person=20
@middle_teton@	-location=20
@manne_siegbahn@	-person=25
@mccook,_nebraska@	-location=32
@highway_69@	-location=58 -event=1
@confederate_congress@	-organization=35 -location=1
@tommy_john@	-person=120 -medicine-medical_treatment=2
@coniston@	-location=101 -art=7 -event=2
@cuyahoga_falls,_ohio@	-location=66
@super_dimension_century_orguss@	-broadcast_program=23
@bromley@	-location=625 -organization=168 -person=1
@oxenhope@	-location=25
@the_new_monthly_magazine@	-art=23
@caps@	-organization=19 -location=2 -chemistry=1 -medicine-medical_treatment=1
@snakes_on_a_plane@	-art=97 -organization=1
@bibi_besch@	-person=40
@seb@	-organization=39 -person=1
@fish@	-living_thing=199 -person=166 -food=151 -broadcast_program=24 -location=10 -god=2
@durbar_square@	-location=20
@game_of_thrones@	-broadcast_program=518 -art=1 -product=1
@garden_party@	-art=23 -event=4
@minette_walters@	-person=45
@manville@	-location=27
@men's_team_event@	-event=21
@ferranti@	-organization=143 -person=1
@united_states_holocaust_memorial_museum@	-location=323
@it_had_to_be_you@	-art=64 -broadcast_program=7
@erin@	-location=46 -person=11 -event=7
@karel_doorman@	-person=36
@éamonn_taaffe@	-person=21
@farmville@	-product=61 -event=1
@ghostbusters@	-art=421 -broadcast_program=14
@ruth_davidson@	-person=32
@madden@	-product=13 -location=9 -person=8
@hippo@	-living_thing=36 -location=19 -event=2 -person=1 -organization=1
@alexander_petrov@	-person=22
@bangladesh_bank@	-organization=38
@the_riddle@	-art=25
@sheldon_whitehouse@	-person=85
@play_with_fire@	-art=20
@saint_benedict@	-person=80 -organization=3 -art=1 -location=1
@tourism@	-art=16 -location=5 -organization=4 -title=3
@the_conversation@	-art=91 -organization=8
@jacques_brel@	-person=410 -art=1
@the_vampire_diaries@	-broadcast_program=596 -art=11
@nordholz@	-location=20
@owain_glyndŵr@	-person=375
@pan-african@	-organization=29 -location=1
@i_touch_myself@	-art=42
@protector_somerset@	-person=26
@kasai-occidental@	-location=35
@scott_fitzgerald@	-person=33
@stigmella_basiguttella@	-living_thing=30
@robin_zander@	-person=104 -art=3
@fred_gaisberg@	-person=31
@gunplay@	-person=48 -art=4
@yekaterinburg@	-location=673 -transit=2
@nsw_premiership@	-organization=22 -event=2
@fascist_italy@	-location=65 -organization=2
@i_left_my_heart_in_san_francisco@	-art=70
@alien@	-art=479 -product=6 -person=5 -organization=1
@herman_dune@	-person=21
@shore_conference@	-organization=49
@xavier_naidoo@	-person=62
@2000_today@	-broadcast_program=21
@mao_inoue@	-person=24
@kola@	-food=13 -location=7 -art=3 -language=2 -person=2
@starship_operators@	-broadcast_program=41
@russian_roulette@	-art=28 -broadcast_program=27 -person=2
@tervuren@	-location=85 -living_thing=3
@manipal_institute_of_technology@	-organization=26
@ramon_sessions@	-person=197
@visceral_games@	-person=35
@johnnie_walker@	-organization=109 -person=78
@medieval_academy_of_america@	-organization=76
@nutbush_city_limits@	-art=37
@timothy_eaton@	-person=45 -location=1
@fleetwood@	-location=307 -organization=25 -product=21 -person=3 -art=2 -title=1
@žižkov@	-location=41 -organization=2
@coal_harbour@	-location=55
@alfred_abel@	-person=51
@murton@	-location=29 -organization=4
@the_atlantic_monthly@	-art=36
@irene_tedrow@	-person=24
@trenton@	-location=893 -event=83 -organization=30 -product=11 -metropolitan_transit-transit_line=1
@battle_cry@	-art=32 -product=5
@chlodomer@	-person=36
@beaufort_sea@	-location=154
@slovak_republic@	-location=62 -organization=3
@grace_abbott@	-person=21
@alessandro_moreschi@	-person=27
@swedish_society_for_anthropology_and_geography@	-organization=23
@tulsa_community_college@	-organization=22
@coliseum@	-location=48 -person=16 -organization=7
@chiodos@	-person=146
@maz@	-organization=21 -person=1 -location=1
@groove_is_in_the_heart@	-art=30
@brookings@	-location=69 -organization=8
@bailey@	-location=43 -person=19 -product=3
@stanley_kwan@	-person=62
@cell_c@	-organization=37
@roswell@	-broadcast_program=205 -location=126 -art=6
@1971@	-event=616 -art=5 -award=1 -organization=1
@papa_don't_preach@	-art=64
@marquesan@	-language=22 -location=5
@tucson_citizen@	-art=30
@union@	-location=2824 -organization=1019 -art=55 -person=23 -event=17 -product=13 -time=1 -religion-religion=1
@guelph@	-location=675 -organization=25
@third_eye_blind@	-person=270 -art=7
@visa@	-organization=247 -person=1
@lips@	-product=34 -art=2
@fourth_divisions@	-organization=21
@twa_flight_center@	-location=20
@malaysia_vasudevan@	-person=55
@john_wayne@	-person=1736 -location=3
@kahina@	-person=27
@hari_river@	-location=29 -event=2
@wrens@	-location=19 -organization=15 -living_thing=5
@goulburn_valley@	-location=66 -organization=1
@candelaria@	-location=47 -time=3 -living_thing=2 -person=1
@the_eleventh_hour@	-broadcast_program=136 -art=19
@massimo_serato@	-person=68
@refused@	-person=130 -organization=1 -event=1
@duran_duran@	-person=1263 -art=36
@horst_p._horst@	-person=24
@jim_baen@	-person=40
@jay_county@	-location=50 -organization=4
@thea@	-broadcast_program=34 -organization=3 -god=1 -person=1 -living_thing=1
@tunstall@	-location=92 -person=5
@war_against_japan@	-event=60
@giuseppe@	-person=23 -art=1
@mohammed_aziz@	-person=20
@royal_albert_hall@	-location=1811 -art=1
@2nd_arrondissement_of_lyon@	-location=30
@gradisca@	-location=20 -organization=1
@merchiston_castle_school@	-organization=97
@national_museum@	-location=216 -organization=3
@amil@	-person=50
@chris_ofili@	-person=79
@nicole_vaidišová@	-person=154
@royal_palace_of_madrid@	-location=88
@wolf_parade@	-person=100 -art=4
@central_michigan@	-organization=118 -location=37
@cadenet@	-location=13 -person=9
@paul_mitchell@	-person=19 -organization=11
@julie_dash@	-person=40
@temne@	-people-ethnicity=84
@lucky_luciano@	-person=159 -art=8
@southern_tang@	-location=195 -event=1
@bohai_sea@	-location=118
@sevens@	-art=14 -organization=12 -product=4
@4th_battle_squadron@	-organization=23
@kurt_schaffenberger@	-person=33
@princess_of_condé@	-title=17 -person=3
@aldansky_district@	-location=34
@meitetsu@	-organization=195
@outdoor_recreation@	-organization=24
@närke@	-location=104
@henry_cromwell@	-person=67
@belmonte@	-location=35 -art=5
@wagram@	-event=53 -location=9 -product=6
@damour@	-location=33 -event=10
@ebers_papyrus@	-art=45
@vivian_stanshall@	-person=115
@united_states_court_of_appeals_for_the_first_circuit@	-organization=162
@rail_accident_investigation_branch@	-organization=28
@coastal_carolina@	-organization=61
@merritt_island@	-location=54
@the_apprenticeship_of_duddy_kravitz@	-art=42
@jack_mullaney@	-person=25
@legend_of_the_dragon@	-broadcast_program=17 -art=3 -product=3
@central_italy@	-location=69 -event=3
@rio_rita@	-art=60
@morgana_lefay@	-person=38
@yahoo!@	-organization=1245 -product=9 -internet-website=2 -location=1
@beardmore@	-organization=27 -location=4
@ben_nicholson@	-person=132
@inner_city@	-person=71 -location=22 -organization=15
@abc_futebol_clube@	-organization=21
@sky_news_australia@	-broadcast_network=108
@cts@	-broadcast_network=45 -organization=18 -product=13 -location=1
@the_yards@	-art=23 -person=1 -location=1
@stylist@	-title=38 -art=8
@jarle_bernhoft@	-person=22
@mighty_joe_young@	-art=97 -person=13
@hong_kong_stock_exchange@	-finance-stock_exchange=358 -organization=2
@vomero@	-location=22
@diggers@	-organization=81 -art=14 -product=2
@cortina@	-product=46 -event=1
@claude_montefiore@	-person=23
@matt_reeves@	-person=38
@prisoners@	-art=19 -location=1 -organization=1
@birkerød@	-location=37 -organization=1
@crises@	-art=19 -event=1
@timok@	-location=23 -organization=2
@john_fairfax@	-person=38 -organization=1
@manhattan_center@	-location=62 -organization=1
@kareem_rush@	-person=32
@gent@	-organization=213 -location=45 -art=13 -event=1 -person=1
@kellyville@	-location=28
@kırklareli_province@	-location=36
@eddie_holland@	-person=93
@jorge_páez@	-person=22
@bridgewater_state_university@	-organization=45
@wolford@	-organization=22 -location=3
@route_70@	-location=91 -metropolitan_transit-transit_line=4
@arthur@	-person=265 -broadcast_program=223 -art=122 -location=48 -product=4 -event=2 -title=2
@damo@	-broadcast_program=16 -location=7 -person=3
@cocos_islands@	-location=20 -event=2
@schlumberger@	-organization=202 -person=2
@dick_ayers@	-person=106
@corey_yuen@	-person=90
@atri@	-god=68 -location=6
@david_arquette@	-person=221
@great_yarmouth@	-location=1109 -organization=4
@teachers'_day@	-time=43 -person=1
@out_of_sight@	-art=95 -broadcast_program=3
@chief_of_defence_staff@	-title=19 -organization=1
@dfg@	-person=34
@dimitri_tiomkin@	-person=197
@katie_white@	-person=25
@singled_out@	-broadcast_program=33 -art=4
@barueri@	-location=71 -organization=3
@arizona_state_museum@	-location=22
@irish_stock_exchange@	-finance-stock_exchange=67
@james_beard_foundation@	-organization=166 -award=4
@pal@	-person=16 -organization=9 -location=9 -product=2 -language=2 -people-ethnicity=1
@franklin_high_school@	-organization=75 -location=1
@hoedspruit@	-location=26
@chitral@	-location=264 -event=4
@people's_national_assembly@	-organization=37 -event=2
@handan@	-location=438 -person=1
@lagonda@	-organization=51 -product=2
@mark_leckey@	-person=21
@didcot@	-location=175
@clown@	-title=39 -art=20 -person=4 -broadcast_program=1 -location=1
@nicholas_fairbairn@	-person=22
@archbishop_of_chicago@	-location=25
@nick_valensi@	-person=39
@court_of_final_appeal@	-organization=101 -location=5
@halfaya_pass@	-location=24 -event=1
@jackie_oates@	-person=22
@medusa@	-art=11 -location=10 -product=7 -event=1
@october_11@	-time=209
@leo_sayer@	-person=264 -art=7
@municipality_of_kamnik@	-location=72
@football_team@	-organization=286 -event=1
@knighted@	-title=710 -location=1
@mali@	-location=4218 -organization=211 -language=2 -person=2
@miss_sweden@	-event=52 -art=2 -location=1
@marsaxlokk@	-organization=130 -location=50
@marvin@	-person=23 -location=5 -art=2
@santiago_de_cuba@	-location=561 -organization=10 -event=4 -product=1
@throw_momma_from_the_train@	-art=39
@the_hour@	-broadcast_program=65 -art=10
@circe@	-god=199 -product=10 -art=4
@clerk@	-title=105 -art=3
@bishop_of_derby@	-title=21 -person=1
@probe@	-product=9 -broadcast_program=9 -organization=2
@dick_york@	-person=56
@ferdinando_carulli@	-person=29
@leander_starr_jameson@	-person=77
@ibelin@	-location=66
@omineca_country@	-location=37
@regina_carter@	-person=73
@jock_scott@	-person=25 -event=1
@brook_green@	-location=22 -art=1
@kayastha@	-people-ethnicity=123
@karnataka_state_road_transport_corporation@	-organization=57
@joonas_kokkonen@	-person=27
@menzoberranzan@	-location=38 -product=3
@amhrán_na_bhfiann@	-art=28
@fauske@	-location=89 -organization=18
@vernel_fournier@	-person=31
@hootenanny@	-broadcast_program=30 -art=4
@pomfret@	-location=52 -living_thing=7
@wolverine_world_wide@	-organization=25
@british_masters@	-event=36 -broadcast_program=2
@king's_college@	-organization=368 -location=3
@sela_ward@	-person=100
@johnson_hagood@	-person=20
@patrick_doyle@	-person=101
@tehama_county@	-location=48
@hirschsprung's_disease@	-disease=29
@glen_campbell@	-person=755 -location=3
@abbeydorney@	-organization=14 -location=11
@hittite@	-location=345 -people-ethnicity=17
@carretera_austral@	-location=26
@miss_may_i@	-person=43
@ouarzazate_province@	-location=41
@las_vegas_boulevard@	-location=84
@claude_chevalley@	-person=43
@florida_commissioner_of_agriculture@	-title=23
@portuguese_national_team@	-organization=136 -location=1
@covadonga@	-location=29 -event=4 -product=2
@ssbn@	-product=23
@dtm@	-event=156 -organization=45
@yakima_sun_kings@	-organization=41
@third@	-art=89 -organization=86 -event=58 -location=10 -person=7 -body_part=5 -product=4 -law=3 -title=2 -broadcast_program=2 -disease=1
@swynnerton@	-location=18 -person=2
@babylon_a.d.@	-art=27 -person=6
@les_blank@	-person=52
@fore_river@	-location=20 -organization=19
@loyola_university_chicago_school_of_law@	-organization=71
@mohawk_valley@	-location=158 -organization=1
@camden,_new_south_wales@	-location=34
@judith_malina@	-person=44
@choctaw@	-people-ethnicity=587 -language=50 -location=42 -product=5
@epic_soundtracks@	-person=28
@movin'_on@	-art=40 -broadcast_program=25
@the_rat_pack@	-art=45
@casey_jones@	-person=70 -art=33
@laurasiatheria@	-living_thing=41
@hazeltine_corporation@	-organization=20
@2010_fifa_world_cup_qualification@	-event=145
@tiananmen_square@	-location=252 -event=25
@mór@	-location=20
@azadegan_rural_district@	-location=23
@the_pumpkin_eater@	-art=31
@ship_of_fools@	-art=59 -internet-website=5
@ian_murdock@	-person=25
@del_unser@	-person=52
@forest_service@	-organization=178 -location=1
@amy_rigby@	-person=26
@oflag_iv-c@	-location=66
@gudgeon@	-living_thing=38 -product=3
@prototype@	-product=63 -art=11 -person=11
@95@	-product=36 -location=34 -art=9 -event=3 -metropolitan_transit-transit_line=2
@the_cliks@	-person=33
@willie_kamm@	-person=22
@diane_black@	-person=21
@koura@	-location=17 -living_thing=3
@self-titled_album@	-art=540 -person=2
@chitra@	-person=25 -art=1 -living_thing=1 -location=1
@wichita_art_museum@	-location=24
@kawaguchi@	-location=28 -person=1
@provincetown@	-location=116
@northern_city_line@	-location=41
@erbil@	-location=122 -organization=2
@gary_carter@	-person=163
@the_hunted@	-art=31 -broadcast_program=3
@oslo_philharmonic@	-person=61
@mitzi_gaynor@	-person=126
@fingal_county_council@	-organization=69 -location=5
@the_jewish_week@	-art=71
@sophie,_countess_of_wessex@	-person=43
@pomone@	-product=23 -art=10
@five_daughters@	-broadcast_program=20
@milne-edwards@	-person=21
@a_man_called_horse@	-art=24
@lyme_regis@	-location=322 -organization=1
@sarnoff_corporation@	-organization=20
@tokyo_international_film_festival@	-event=230
@maria_josepha@	-person=24
@gibbes_museum_of_art@	-location=24
@garner@	-location=42 -person=22
@qc@	-title=1466 -location=17 -event=3
@sinclair_knight_merz@	-organization=20
@jinul@	-person=25
@norges_statsbaner@	-organization=89
@la_república@	-art=25
@celia_johnson@	-person=108
@machen@	-location=39 -person=3
@venezuelan@	-people-ethnicity=129 -location=43 -organization=2 -language=1
@orkla_group@	-organization=58
@the_man@	-art=25 -person=2
@sunrise_avenue@	-person=39
@the_wildhearts@	-person=186 -art=4
@new_york_public_library@	-location=1146
@new_rose@	-art=33
@choking_victim@	-person=26
@allergic@	-disease=22 -art=1
@pricewaterhousecoopers@	-organization=448
@angoulême_international_comics_festival@	-location=184 -award=1
@titus_labienus@	-person=60
@salvation_army@	-organization=45 -person=1
@lost_dogs@	-person=49 -art=31
@rowdy_rathore@	-art=42
@european_science_foundation@	-organization=71
@henry_herringman@	-person=26
@shaun_marcum@	-person=37
@chivas@	-organization=32 -food=4
@nikos_skalkottas@	-person=40
@sneeze@	-person=14 -medicine-symptom=6 -art=1
@abdullah_çatlı@	-person=43
@second_season@	-event=46 -art=24 -broadcast_program=21
@sheila_on_7@	-person=20 -art=2
@petronas_towers@	-location=90
@norman_lacy@	-person=27
@west_region@	-organization=42 -location=20 -event=2
@melanie_sykes@	-person=41
@agf_aarhus@	-organization=60
@kanishka@	-person=112 -event=1
@mike_macdonald@	-person=26
@future@	-person=191 -art=4 -god=1 -event=1
@clapham_sect@	-organization=51
